business_id,sku,product_name,category,specification,available_capacity,min_order_value,price_range,certifications
BIZ-001,SKU-AGR-COFFEE-BIZ-001,Ca phe rang xay 500g,processed_agri,"Arabica/Robusta blend, 500g",179500,120000000,premium,VietGAP;ISO 22000
BIZ-002,SKU-BEV-1L-BIZ-002,Sua hat dong hop 1L,beverage,"UHT, 1L, khong duong",179000,120000000,mid,HACCP;ISO 22000
BIZ-003,SKU-PKG-SNACK-BIZ-003,Snack ngu coc 120g,packaged_food,"Goi 120g, shelf-stable",178500,120000000,mid,HACCP
BIZ-004,SKU-COLD-YOGURT-BIZ-004,Sua chua lanh 100g,cold_chain_food,"2-6C, han dung 21 ngay",88000,60000000,mid,HACCP;Cold Chain
BIZ-005,SKU-BEV-1L-BIZ-005,Sua hat dong hop 1L,beverage,"UHT, 1L, khong duong",102500,60000000,mid,HACCP;ISO 22000
BIZ-006,SKU-AGR-COFFEE-BIZ-006,Ca phe rang xay 500g,processed_agri,"Arabica/Robusta blend, 500g",102000,60000000,premium,VietGAP;ISO 22000
BIZ-007,SKU-BEV-1L-BIZ-007,Sua hat dong hop 1L,beverage,"UHT, 1L, khong duong",84000,60000000,mid,HACCP;ISO 22000
BIZ-008,SKU-AGR-COFFEE-BIZ-008,Ca phe rang xay 500g,processed_agri,"Arabica/Robusta blend, 500g",21500,25000000,premium,VietGAP;ISO 22000
BIZ-009,SKU-BEV-1L-BIZ-009,Sua hat dong hop 1L,beverage,"UHT, 1L, khong duong",21000,25000000,mid,HACCP;ISO 22000
BIZ-010,SKU-PKG-SNACK-BIZ-010,Snack ngu coc 120g,packaged_food,"Goi 120g, shelf-stable",14500,8000000,mid,HACCP
BIZ-011,SKU-BEV-1L-BIZ-011,Sua hat dong hop 1L,beverage,"UHT, 1L, khong duong",35000,25000000,mid,HACCP;ISO 22000
BIZ-012,SKU-AGR-COFFEE-BIZ-012,Ca phe rang xay 500g,processed_agri,"Arabica/Robusta blend, 500g",13500,8000000,premium,VietGAP;ISO 22000
BIZ-013,SKU-BEV-1L-BIZ-013,Sua hat dong hop 1L,beverage,"UHT, 1L, khong duong",96000,60000000,mid,HACCP;ISO 22000
BIZ-014,SKU-PKG-SNACK-BIZ-014,Snack ngu coc 120g,packaged_food,"Goi 120g, shelf-stable",78000,60000000,mid,HACCP
BIZ-015,SKU-AGR-COFFEE-BIZ-015,Ca phe rang xay 500g,processed_agri,"Arabica/Robusta blend, 500g",30500,25000000,premium,VietGAP;ISO 22000
BIZ-016,SKU-AGR-COFFEE-BIZ-016,Ca phe rang xay 500g,processed_agri,"Arabica/Robusta blend, 500g",30000,25000000,premium,VietGAP;ISO 22000
BIZ-017,SKU-COLD-YOGURT-BIZ-017,Sua chua lanh 100g,cold_chain_food,"2-6C, han dung 21 ngay",91500,60000000,mid,HACCP;Cold Chain
BIZ-018,SKU-PKG-SNACK-BIZ-018,Snack ngu coc 120g,packaged_food,"Goi 120g, shelf-stable",91000,60000000,mid,HACCP
BIZ-019,SKU-BEV-1L-BIZ-019,Sua hat dong hop 1L,beverage,"UHT, 1L, khong duong",28500,25000000,mid,HACCP;ISO 22000
